index,category,split,model_name,adapter_dir,prediction,answer,correct,logit_A,logit_B,logit_C,logit_D,question
11,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,C,C,1,22.25,21.75,27.375,19.125,"A town has one high school, which buses students from urban, suburban, and rural communities. Which of the following samples is recommended in studying attitudes toward tracking of students in honors, regular, and below-grade classes?"
12,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,21.25,21.0,21.125,22.375,"A shipment of resistors have an average resistance of 200 ohms with a standard deviation of 5 ohms, and the resistances are normally distributed. Suppose a randomly chosen resistor has a resistance under 194 ohms. What is the probability that its resistance is greater than 188 ohms?"
13,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,B,C,0,22.75,23.0,23.0,22.75,A major polling organization wants to predict the outcome of an upcoming national election (in terms of the proportion of voters who will vote for each candidate). They intend to use a 95% confidence interval with margin of error of no more than 2.5%. What is the minimum sample size needed to accomplish this goal?
14,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,B,0,23.25,19.875,20.625,23.625,"Given that the sample has a standard deviation of zero, which of the following is a true statement?"
15,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,A,0,21.875,22.0,21.875,22.375,"The number of customers served per day by a large department store is normally distributed, with a mean of 3,250 customers and a standard deviation of 320. Find the range of customers served on the middle 50 percent of days."
16,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,22.375,22.25,22.5,23.25,"Suppose that 54% of the graduates from your high school go on to 4-year colleges, 20% go on to 2-year colleges, 19% find employment, and the remaining 7% search for a job. If a randomly selected student is not going on to a 2-year college, what is the probability she will be going on to a 4-year college?"
17,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,C,A,0,22.5,23.25,25.875,21.5,"The Department of Health plans to test the lead level in a specific park. Because a high lead level is harmful to children, the park will be closed if the lead level exceeds the allowed limit. The department randomly selects several locations in the park, gets soil samples from those locations, and tests the samples for their lead levels. Which of the following decisions would result from the type I error?"
18,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,B,D,0,20.75,22.0,20.875,20.75,"For a class project, a student wants to see if boys and girls at their large high school differ in the number of contacts they have stored in their phone. The student conducts a survey of 50 randomly sampled boys and 40 randomly selected girls, and asks them to report the number of contacts. Which of the following is true about this situation?"
19,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,C,0,22.0,22.5,23.0,23.875,The probability is 0.2 that a value selected at random from a normal distribution with mean 600 and standard deviation 15 will be above what number?
20,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,B,0,23.625,23.875,24.375,25.125,"In a group of 10 scores, the largest score is increased by 40 points. What will happen to the mean?"
21,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,C,D,0,20.5,21.625,22.625,21.25,"The distribution of salaries of a county school system with 4,752 employees is known to be right skewed, with the superintendent’s salary an outlier on the higher side. A random sample of 20 employees was taken and their salaries recorded. A 95 percent t-confidence interval for the mean salary of the county school system employees is ($15,360, $32,470). The t-confidence interval is not appropriate in this situation because"
22,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,B,0,21.875,22.375,22.75,22.875,Assume that the masses of chicken eggs are normally distributed with a mean of 45 g and a standard deviation of 4 g. What mass of egg would be the 25th percentile of the masses of all the eggs?
23,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,22.125,20.75,21.875,24.25,"A recent poll reported that 43% of Americans approve of the job the president is doing, with a margin of sampling error of ±3.2% at a 95% level of confidence. Which of these correctly interprets that margin of error?"
24,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,22.75,22.375,22.75,27.0,What is the probability of a Type II error when a hypothesis test is being conducted at the 10% significance level (α = 0.10)?
25,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,20.125,20.375,20.625,22.5,"In comparing the life expectancies of two models of refrigerators, the average years before complete breakdown of 10 model A refrigerators is compared with that of 15 model B refrigerators. The 90% confidence interval estimate of the difference is (6, 12). Which of the following is the most reasonable conclusion?"
26,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,B,0,20.875,21.5,22.25,23.5,A medicine is known to produce side effects in one in five patients taking it. Suppose a doctor prescribes the medicine to four unrelated patients. What is the probability that none of the patients will develop side effects?
27,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,A,0,20.75,20.875,21.375,23.125,Which of the following is notan advantage of stratified random sampling over simple random sampling?
28,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,C,0,23.0,22.5,22.75,23.625,"In the casino game of roulette, there are 38 slots for a ball to drop into when it is rolled around the rim of a revolving wheel: 18 red, 18 black, and 2 green. What is the probability that the first time a ball drops into the red slot is on the 8th trial (in other words, suppose you are betting on red every time-what is the probability of losing 7 straight times before you win the first time)?"
29,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,B,A,0,22.625,24.625,24.625,23.5,"A talk show host recently reported that in response to his on-air question, 82% of the more than 2500 e-mail messages received through his publicized address supported the death penalty for anyone convicted of selling drugs to children. What does this show?"
30,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,C,0,21.375,20.75,21.625,21.75,"To determine the average number of children living in single-family homes, a researcher picks a simple random sample of 50 such homes. However, even after one follow-up visit the interviewer is unable to make contact with anyone in 8 of these homes. Concerned about nonresponse bias, the researcher picks another simple random sample and instructs the interviewer to keep trying until contact is made with someone in a total of 50 homes. The average number of children is determined to be 1.73. Is this estimate probably too low or too high?"
31,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,A,0,22.25,21.5,22.375,25.25,"If all the values of a data set are the same, all of the following must equal zero except for which one?"
32,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,C,0,21.875,22.125,22.625,23.0,A university sent out a survey to a random sample of 120 recent graduates to see how those graduates feel about the education they received. Thirty-two of the graduates did not respond to the survey. Which of these would be the best way to proceed?
33,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,20.875,20.75,20.625,21.625,"Given the probabilities P(A) = 0.3 and P(B) = 0.2, what is the probability of the union P(A ∪ B) if A and B are mutually exclusive? If A and B are independent? If B is a subset of A?"
34,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,C,C,1,23.125,22.5,26.25,25.75,Which of the following is true about any discrete probability distribution of a random variable X?
35,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,C,0,23.625,22.25,23.625,24.125,Which among the following would result in the narrowest confidence interval?
36,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,23.375,23.125,23.625,25.375,"The correlation between height in inches and weight in pounds for a particular class is 0.65. If the heights are converted from inches to centimeters, what will the correlation be? (1 in. = 2.54 cm)"
37,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,21.875,22.375,23.0,24.125,The number of days it takes to build a new house has a variance of 386. A sample of 40 new homes shows an average building time of 83 days. With what confidence can we assert that the average building time for a new house is between 80 and 90 days?
38,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,B,0,21.375,21.75,21.75,22.75,A significance test of the hypothesis H0: p= 0.3 against the alternative HA: p> 0.3 found a value of = 0.35 for a random sample of size 95. What is the P-value of this test?
39,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,A,0,21.875,21.25,22.125,22.875,"Two events A and B each have a nonzero probability. If A and B are independent, which of the following statements is true?"
40,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,A,A,1,23.625,23.0,22.125,22.875,"A teacher believes that giving her students a practice quiz every week will motivate them to study harder, leading to a greater overall understanding of the course material. She tries this technique for a year, and everyone in the class achieves a grade of at least C. Is this an experiment or an observational study?"
41,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,22.875,21.625,24.375,26.875,Which of these is the best description of a P-value?
42,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,22.25,23.375,23.25,24.25,"The financial aid office at a state university conducts a study to determine the total student costs per semester. All students are charged $4500 for tuition. The mean cost for books is $350 with a standard deviation of $65. The mean outlay for room and board is $2800 with a standard deviation of $380. The mean personal expenditure is $675 with a standard deviation of $125. Assuming independence among categories, what is the standard deviation of the total student costs?"
43,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,20.875,21.125,21.875,23.125,"Self-efficacy (the belief that one has control over one's situation) as it related to job satisfaction was studied. When a group of teachers rated their ability to control their situation and their satisfaction with their job, the two variables had a correlation of 0.30. Which statement follows from this correlation?"
44,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,19.75,20.0,20.625,24.0,"Suppose X and Y are random variables with E(X) = 312, var(X) = 6, E(X) = 307, and var(Y) = 8. What are the expected value and variance of the random variable X + Y?"
45,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,22.375,20.875,22.5,26.5,"Consider the two sets X = {10, 30, 45, 50, 55, 70, 90} and Y = {10, 30, 35, 50, 65, 70, 90}. Which of the following is false?"
46,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,22.25,20.125,21.125,27.5,Which of the following is a true statement?
47,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,A,A,1,22.25,21.0,21.25,22.25,"A researcher is hoping to find a predictive linear relationship between the explanatory and response variables in her study. Accordingly, as part of her analysis she plans to generate a 95% confidence interval for the slope of the regression line for the two variables. The interval is determined to be (0.45, 0.80). Which of the following is (are) true? (Assume conditions for inference are met.) I. She has good evidence of a linear relationship between the variables. II. It is likely that there is a non-zero correlation (r) between the two variables. III. It is likely that the true slope of the regression line is 0."
48,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,22.0,22.0,22.75,23.75,A student organization at a university is interested in estimating the proportion of students in favor of showing movies biweekly instead of monthly. How many students should be sampled to get a 90 percent confidence interval with a width of at most 0.08?
49,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,C,0,23.25,22.125,23.0,25.375,A correlation of 0.6 indicates that the percentage of variation in y that is explained by the variation in x is how many times the percentage indicated by a correlation of 0.3?
50,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,21.875,20.5,21.25,24.5,For which of the following is it appropriate to use a census?
51,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,23.0,22.375,23.125,28.375,Which of the following is the best description of the power of a significance test?
52,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,C,0,21.25,21.375,21.875,23.5,A drug company will conduct a randomized controlled study on the effectiveness of a new heart disease medication called Heartaid. Heartaid is more expensive than the currently used medication. The analysis will include a significance test with H0: Heartaid and the current medication are equally effective at preventing heart disease and HA: Heartaid is more effective than the current medication at preventing heart disease. Which of these would be a potential consequence of a Type II error?
53,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,A,0,21.0,20.625,21.0,21.875,Two classes take the same exam. Suppose a certain score is at the 40th percentile for the first class and at the 80th percentile for the second class. Which of the following is the most reasonable conclusion?
54,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,20.125,20.375,20.75,24.25,"The mean thrust of a certain model jet engine is 9500 pounds. Concerned that a production process change might have lowered the thrust, an inspector tests a sample of units, calculating a mean of 9350 pounds with a z-score of -2.46 and a P-value of 0.0069. Which of the following is the most reasonable conclusion?"
55,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,23.125,19.125,20.875,26.0,"When the point (15,2) is included, the slope of regression line (y= a+ bx) is b= -0.54. The correlation is r= -0.82. When the point is removed, the new slope is -1.04 and the new correlation coefficient is -0.95. What name is given to a point whose removal has this kind of effect on statistical calculations?"
